Idx RGB_file Qw Qx Qy Qz Tx Ty Tz
0 rgb/1305031526.671473.png 1 0 0 0 0 0 0
1 rgb/1305031526.707547.png 0.999879 0.0121336 0.00937752 0.00266619 -0.0162437 0.00181598 -0.0515805
2 rgb/1305031526.771481.png 0.998479 0.043113 0.0342041 0.00322428 -0.0235412 -0.00386568 -0.0935987
5 rgb/1305031526.907484.png 0.987023 0.13537 0.0856916 -0.0108205 -0.0590056 0.0076417 -0.165023
10 rgb/1305031527.071487.png 0.9677 0.217182 0.126807 -0.0175851 -0.0926019 0.0171719 -0.236378
14 rgb/1305031527.207588.png 0.954714 0.263806 0.136054 -0.0204316 -0.103334 0.0762098 -0.293083
16 rgb/1305031527.307472.png 0.953149 0.271026 0.133011 -0.0189714 -0.131894 0.162746 -0.347675
19 rgb/1305031527.407412.png 0.956262 0.266585 0.119486 -0.014756 -0.127059 0.229789 -0.372053
24 rgb/1305031527.571506.png 0.964281 0.238405 0.114544 -0.014289 -0.123393 0.303876 -0.378678
26 rgb/1305031527.671547.png 0.972265 0.208717 0.103454 -0.0208545 -0.126798 0.360918 -0.396356
31 rgb/1305031527.871464.png 0.988815 0.137451 0.0532132 -0.0228168 -0.139868 0.34233 -0.415419
34 rgb/1305031527.971502.png 0.992125 0.113174 0.00385687 -0.0535275 -0.147972 0.325444 -0.436736
35 rgb/1305031528.039560.png 0.99063 0.101363 -0.0319816 -0.0857598 -0.163992 0.312803 -0.465675
40 rgb/1305031528.207527.png 0.971662 0.117384 -0.113273 -0.171064 -0.196027 0.314894 -0.501407
43 rgb/1305031528.307665.png 0.956924 0.132277 -0.152337 -0.208786 -0.241232 0.324218 -0.56225
46 rgb/1305031528.407459.png 0.932869 0.151165 -0.229387 -0.232993 -0.271492 0.346654 -0.589603
49 rgb/1305031528.539626.png 0.887389 0.155236 -0.354091 -0.25112 -0.279589 0.381151 -0.623456
50 rgb/1305031528.575449.png 0.874772 0.1506 -0.382147 -0.257018 -0.276595 0.392772 -0.630228
52 rgb/1305031528.639487.png 0.852319 0.140105 -0.426865 -0.267785 -0.280291 0.407362 -0.639437
53 rgb/1305031528.707447.png 0.838312 0.120902 -0.447279 -0.287328 -0.283787 0.421188 -0.651946
54 rgb/1305031528.739609.png 0.833318 0.108431 -0.45347 -0.296965 -0.283473 0.418095 -0.660538
58 rgb/1305031528.875433.png 0.824342 0.0572186 -0.454651 -0.332384 -0.297077 0.448428 -0.686334
63 rgb/1305031529.039494.png 0.831199 -0.0264932 -0.434889 -0.345367 -0.330203 0.500345 -0.715479
70 rgb/1305031529.275389.png 0.892911 -0.132994 -0.326724 -0.279774 -0.395998 0.611718 -0.792491
72 rgb/1305031529.339486.png 0.900921 -0.163084 -0.290644 -0.277976 -0.424482 0.634341 -0.824699
74 rgb/1305031529.407513.png 0.899112 -0.183368 -0.279889 -0.282199 -0.465405 0.649692 -0.848587
77 rgb/1305031529.507485.png 0.900807 -0.178584 -0.268418 -0.29087 -0.513035 0.672715 -0.884801
80 rgb/1305031529.639746.png 0.914885 -0.162714 -0.237958 -0.282641 -0.572632 0.707865 -0.935706
84 rgb/1305031529.775501.png 0.927967 -0.177198 -0.206461 -0.254662 -0.624943 0.734224 -0.94885
87 rgb/1305031529.875495.png 0.943598 -0.165835 -0.167335 -0.232638 -0.680719 0.746381 -0.958867
89 rgb/1305031529.975501.png 0.956318 -0.154443 -0.152027 -0.196189 -0.739391 0.763754 -0.975462
92 rgb/1305031530.075443.png 0.964206 -0.162789 -0.137123 -0.158128 -0.803471 0.769297 -1.00046
95 rgb/1305031530.175410.png 0.968828 -0.163164 -0.133567 -0.130034 -0.861771 0.75581 -1.03149
98 rgb/1305031530.275407.png 0.973285 -0.143415 -0.127229 -0.126335 -0.913155 0.735659 -1.07319
103 rgb/1305031530.439553.png 0.979913 -0.121993 -0.0936821 -0.126936 -0.995648 0.706952 -1.14797
107 rgb/1305031530.575433.png 0.986243 -0.094013 -0.060016 -0.122002 -1.04272 0.649828 -1.20724
111 rgb/1305031530.739522.png 0.993161 0.00806305 0.0565525 -0.101819 -1.09794 0.639779 -1.32182
114 rgb/1305031530.839463.png 0.987853 0.0453318 0.132554 -0.0672381 -1.16533 0.684978 -1.3735
118 rgb/1305031531.039689.png 0.991861 0.0416746 0.112699 -0.042118 -1.34427 0.751304 -1.36839
120 rgb/1305031531.139581.png 0.997838 0.00317146 0.0563617 -0.0336561 -1.4169 0.767681 -1.32572
123 rgb/1305031531.275515.png 0.999159 -0.027517 -0.0200517 -0.0228431 -1.50204 0.791948 -1.25337
125 rgb/1305031531.375434.png 0.99851 -0.026359 -0.0434825 -0.0198161 -1.55793 0.812205 -1.19357
130 rgb/1305031531.575392.png 0.999917 -0.011968 -0.00154057 0.00446295 -1.69141 0.820344 -1.09771
135 rgb/1305031531.739657.png 0.999498 -0.00606273 0.0265955 0.0161154 -1.79854 0.818313 -1.033
138 rgb/1305031531.875426.png 0.998951 -0.00396253 0.0432116 0.0146457 -1.88678 0.837074 -0.999048
142 rgb/1305031532.039675.png 0.995092 -0.0519207 0.0750663 0.0382209 -1.96807 0.857374 -0.952519
147 rgb/1305031532.207465.png 0.979253 -0.118235 0.106697 0.125301 -2.04001 0.878452 -0.890584
151 rgb/1305031532.339777.png 0.960386 -0.156012 0.126831 0.192959 -2.11024 0.892228 -0.841178
154 rgb/1305031532.439533.png 0.955378 -0.161889 0.114897 0.218731 -2.15698 0.902027 -0.775306
159 rgb/1305031532.607434.png 0.964234 -0.0900311 0.125179 0.215588 -2.23824 0.873661 -0.724131
165 rgb/1305031532.839717.png 0.93797 -0.0996619 0.206473 0.260092 -2.29071 0.825184 -0.63503
171 rgb/1305031533.039505.png 0.901745 -0.0680062 0.267193 0.332926 -2.28731 0.781864 -0.570461
175 rgb/1305031533.175459.png 0.87579 -0.0526486 0.311523 0.364929 -2.29082 0.753372 -0.553427
180 rgb/1305031533.339522.png 0.856723 -0.0337113 0.354332 0.37328 -2.3059 0.70489 -0.573668
183 rgb/1305031533.439774.png 0.848721 -0.010162 0.367684 0.379972 -2.32876 0.656678 -0.595624
188 rgb/1305031533.607639.png 0.830282 0.0331535 0.386227 0.400451 -2.36128 0.617049 -0.624152
193 rgb/1305031533.775530.png 0.792569 0.029445 0.440109 0.421036 -2.40431 0.586312 -0.623396
196 rgb/1305031533.875471.png 0.78856 0.0383235 0.436254 0.431725 -2.44022 0.5177 -0.588443
198 rgb/1305031533.939530.png 0.816596 0.0651264 0.384364 0.425668 -2.44674 0.499083 -0.57092
200 rgb/1305031534.007323.png 0.847286 0.0926386 0.325325 0.409497 -2.43347 0.495663 -0.558132
203 rgb/1305031534.107442.png 0.875181 0.152118 0.270085 0.371446 -2.41791 0.502353 -0.524914
209 rgb/1305031534.307945.png 0.884863 0.215385 0.266827 0.315326 -2.44083 0.460439 -0.490927
234 rgb/1305031535.139465.png 0.902804 0.307045 0.215433 0.210371 -2.44745 0.401121 -0.469855
244 rgb/1305031535.475595.png 0.934642 0.288898 0.117104 0.171084 -2.47578 0.367063 -0.48843
259 rgb/1305031535.975512.png 0.946593 0.24482 0.127659 0.166519 -2.42379 0.473985 -0.472604
265 rgb/1305031536.175699.png 0.940682 0.16513 0.186046 0.230731 -2.40268 0.514843 -0.480741
271 rgb/1305031536.375786.png 0.899237 0.103873 0.272239 0.326298 -2.38223 0.561032 -0.503011
277 rgb/1305031536.575660.png 0.856544 0.0697404 0.321904 0.3973 -2.39104 0.580707 -0.531661
284 rgb/1305031536.807301.png 0.850122 0.0523372 0.318166 0.416321 -2.39887 0.632355 -0.561283
290 rgb/1305031537.007412.png 0.866674 0.0478316 0.325163 0.375309 -2.39499 0.702748 -0.607381
297 rgb/1305031537.239415.png 0.886212 0.0410174 0.325832 0.326771 -2.35985 0.777391 -0.720299
304 rgb/1305031537.475520.png 0.924539 0.0345167 0.278413 0.257919 -2.30579 0.826872 -0.849096
311 rgb/1305031537.707483.png 0.953379 0.0433171 0.222788 0.19889 -2.21893 0.854981 -0.948212
