Idx RGB_file Qw Qx Qy Qz Tx Ty Tz
0 rgb/1305031526.671473.png 1 0 0 0 0 0 0
1 rgb/1305031526.707547.png 0.999882 0.0113616 0.0101498 0.00190883 0.00561679 -0.00651203 -0.00572699
2 rgb/1305031526.771481.png 0.99841 0.0436906 0.0356082 0.00109081 0.00964885 -0.0181834 -0.0236082
3 rgb/1305031526.807455.png 0.996263 0.0705739 0.0497894 -0.000992166 0.00694048 -0.0221562 -0.0352332
4 rgb/1305031526.871446.png 0.9908 0.11426 0.071921 -0.00930379 -0.00267429 -0.012748 -0.0579631
5 rgb/1305031526.907484.png 0.986876 0.137332 0.0839579 -0.0129054 -0.00897188 -0.00502808 -0.0698102
6 rgb/1305031526.939618.png 0.983181 0.155511 0.0946293 -0.0147428 -0.0150695 -0.00369637 -0.0799995
7 rgb/1305031526.971510.png 0.979034 0.17492 0.102962 -0.0171441 -0.0188154 -0.0011143 -0.0918585
8 rgb/1305031527.007595.png 0.975284 0.190741 0.110118 -0.0176745 -0.0235948 0.007261 -0.100082
9 rgb/1305031527.039512.png 0.971881 0.204079 0.11593 -0.0189541 -0.0234402 0.000211407 -0.107411
10 rgb/1305031527.071487.png 0.967087 0.222093 0.122692 -0.019074 -0.0260004 0.0146378 -0.114844
11 rgb/1305031527.107498.png 0.964469 0.230906 0.127143 -0.017812 -0.0281849 0.0192442 -0.118585
12 rgb/1305031527.139473.png 0.961334 0.241566 0.130855 -0.0189888 -0.0256652 0.0187499 -0.122279
13 rgb/1305031527.171540.png 0.95861 0.248572 0.137804 -0.0169793 -0.0368619 0.0283567 -0.135856
14 rgb/1305031527.207588.png 0.957605 0.251086 0.140245 -0.0167034 -0.0405707 0.0418953 -0.139804
15 rgb/1305031527.271501.png 0.957886 0.246022 0.147503 -0.0130847 -0.0651942 0.0765187 -0.149629
16 rgb/1305031527.307472.png 0.96004 0.238409 0.146227 -0.0100666 -0.0707288 0.086123 -0.150055
17 rgb/1305031527.339636.png 0.962608 0.230052 0.142936 -0.0055242 -0.0718925 0.0923224 -0.145721
18 rgb/1305031527.371505.png 0.964417 0.223404 0.14136 -0.00288813 -0.0714751 0.103392 -0.139828
19 rgb/1305031527.407412.png 0.966453 0.214178 0.141764 0.000147721 -0.0713743 0.107624 -0.13502
20 rgb/1305031527.439476.png 0.968453 0.204494 0.14238 0.00311718 -0.0710822 0.112196 -0.130726
21 rgb/1305031527.471497.png 0.970446 0.195128 0.141884 0.00532061 -0.0707264 0.114092 -0.125561
22 rgb/1305031527.507487.png 0.972378 0.185934 0.140953 0.00638948 -0.0698135 0.118313 -0.12122
23 rgb/1305031527.539741.png 0.973976 0.177025 0.141359 0.00704325 -0.0698537 0.126218 -0.117358
24 rgb/1305031527.571506.png 0.975881 0.1655 0.142158 0.00754387 -0.0714492 0.133468 -0.112176
25 rgb/1305031527.607559.png 0.97822 0.151343 0.141814 0.00836941 -0.0709928 0.13605 -0.107465
26 rgb/1305031527.671547.png 0.983869 0.116184 0.135761 0.00848996 -0.0816615 0.138035 -0.101234
27 rgb/1305031527.707520.png 0.987015 0.0996239 0.125463 0.0116242 -0.0777814 0.12726 -0.0967556
28 rgb/1305031527.771461.png 0.990289 0.0804202 0.112445 0.0147137 -0.0812892 0.126343 -0.0897175
29 rgb/1305031527.807581.png 0.991953 0.06955 0.104591 0.0158923 -0.0838991 0.121991 -0.0870446
30 rgb/1305031527.839601.png 0.99327 0.0645405 0.0948127 0.0161215 -0.0891253 0.122445 -0.0835298
