Idx RGB_file Qw Qx Qy Qz Tx Ty Tz
0 rgb/1311868164.363181.png 1 0 0 0 0 0 0
7 rgb/1311868164.599061.png 0.999882 -0.00667339 0.00258663 -0.0135737 0.0160609 0.00489091 -0.017382
8 rgb/1311868164.631140.png 0.999876 -0.00529118 0.00360282 -0.0144186 0.0179423 0.00352375 -0.0208104
13 rgb/1311868164.799138.png 0.999904 -0.000981421 -0.00516812 -0.0127804 0.0459156 -0.00238532 -0.035437
16 rgb/1311868164.899132.png 0.999846 0.00895708 -0.00336005 -0.0146915 0.0691529 -0.00603695 -0.0423464
25 rgb/1311868165.199145.png 0.999091 0.0144738 -0.026951 -0.0296821 0.159871 -0.00150255 -0.0679915
31 rgb/1311868165.399160.png 0.998186 0.00593946 -0.0474732 -0.036542 0.226121 0.0135857 -0.0796172
39 rgb/1311868165.663251.png 0.99798 -0.0100708 -0.0527663 -0.0339179 0.291084 0.0284921 -0.0891552
55 rgb/1311868166.199211.png 0.999136 -0.030838 -0.00894237 -0.0263918 0.300916 0.0843547 -0.182258
80 rgb/1311868167.031127.png 0.998474 -0.0410828 -0.0144994 -0.0339218 0.429137 0.147416 -0.264381
99 rgb/1311868167.699226.png 0.994767 -0.0366208 -0.072569 -0.0618905 0.612263 0.140155 -0.269223
128 rgb/1311868168.899300.png 0.992409 -0.0206277 -0.102973 -0.0639896 0.652709 0.0424546 -0.114755
141 rgb/1311868169.363470.png 0.979586 0.0122368 -0.172438 -0.102595 0.691212 -0.0393677 -0.0285767
152 rgb/1311868169.731279.png 0.96131 0.0438406 -0.232174 -0.141622 0.746252 -0.118829 0.0269088
169 rgb/1311868170.299432.png 0.95976 0.0500881 -0.251823 -0.113741 0.848367 -0.16671 0.0357366
194 rgb/1311868171.131477.png 0.954068 0.0321834 -0.266718 -0.132589 1.00514 -0.119663 -0.031192
213 rgb/1311868171.799464.png 0.935446 0.0240715 -0.305241 -0.176606 1.16657 -0.109304 0.0155095
226 rgb/1311868172.363479.png 0.929135 -0.0156526 -0.312621 -0.196804 1.28967 -0.0994127 0.0924763
234 rgb/1311868172.699619.png 0.930499 -0.0469474 -0.29714 -0.208988 1.3339 -0.0967017 0.15424
240 rgb/1311868172.963571.png 0.929184 -0.0782429 -0.28929 -0.216349 1.34424 -0.0999122 0.23247
253 rgb/1311868173.431624.png 0.92695 -0.0736938 -0.29169 -0.224166 1.36238 -0.154556 0.325334
263 rgb/1311868173.831620.png 0.918478 -0.0688607 -0.318528 -0.224045 1.39125 -0.193202 0.396196
273 rgb/1311868174.231617.png 0.889939 -0.0398986 -0.372462 -0.260171 1.45676 -0.265716 0.46705
285 rgb/1311868174.631772.png 0.873896 -0.0348147 -0.404585 -0.267216 1.50518 -0.302318 0.52487
297 rgb/1311868175.031665.png 0.874549 -0.00683381 -0.415037 -0.250722 1.49096 -0.365152 0.568799
301 rgb/1311868175.167807.png 0.873633 0.00796758 -0.416303 -0.251782 1.46413 -0.396737 0.578338
