Idx RGB_file Qw Qx Qy Qz Tx Ty Tz
0 rgb/1311868164.363181.png 1 0 0 0 0 0 0
1 rgb/1311868164.399026.png 0.999997 -0.00166354 -0.00104847 -0.00129508 -0.000909319 0.00228086 -0.00252326
2 rgb/1311868164.430940.png 0.999982 -0.00367315 -0.00379332 -0.00279826 0.000596914 0.00405906 -0.00554802
3 rgb/1311868164.463055.png 0.999958 -0.00569474 -0.00487025 -0.0053587 0.00432028 0.00591198 -0.00833338
4 rgb/1311868164.499130.png 0.999933 -0.00752031 -0.00337601 -0.00814065 0.00805622 0.0062981 -0.010443
5 rgb/1311868164.531025.png 0.999919 -0.00753482 -0.000476521 -0.0102516 0.0110266 0.00761535 -0.0127964
6 rgb/1311868164.563004.png 0.999902 -0.00698477 0.00187112 -0.0119914 0.012605 0.00782028 -0.0154856
7 rgb/1311868164.599061.png 0.999889 -0.00552802 0.00253946 -0.0136347 0.0160207 0.00797982 -0.0184925
8 rgb/1311868164.631140.png 0.999883 -0.00345819 0.00331124 -0.0145377 0.018683 0.00850368 -0.0226933
9 rgb/1311868164.663105.png 0.999884 -0.00222185 0.00194406 -0.0149322 0.0229939 0.00968522 -0.0273898
10 rgb/1311868164.698987.png 0.99989 -0.00208506 -0.000256383 -0.0146886 0.0274965 0.0109198 -0.0314498
11 rgb/1311868164.731046.png 0.999902 -0.00268425 -0.002589 -0.0134769 0.0336646 0.0073916 -0.0340656
12 rgb/1311868164.763098.png 0.999905 -0.000468165 -0.00452111 -0.0130397 0.0398765 0.00669965 -0.0376909
13 rgb/1311868164.799138.png 0.999895 0.00185019 -0.00553965 -0.0132541 0.0466937 0.00534832 -0.0407389
14 rgb/1311868164.831006.png 0.99987 0.00594668 -0.00592537 -0.0137513 0.0546245 0.00473601 -0.0434745
15 rgb/1311868164.863058.png 0.999832 0.0095807 -0.00532582 -0.014707 0.0632207 0.00596481 -0.0463183
16 rgb/1311868164.899132.png 0.999786 0.0131082 -0.00434449 -0.0154109 0.0718984 0.00542994 -0.0479962
17 rgb/1311868164.930933.png 0.999714 0.0164015 -0.00374775 -0.0170079 0.0794682 0.00797893 -0.0515722
18 rgb/1311868164.963119.png 0.999665 0.0169524 -0.00395816 -0.0191333 0.0866426 0.0123249 -0.0553054
19 rgb/1311868164.999037.png 0.999685 0.0144608 -0.00668004 -0.0193744 0.0951412 0.0104702 -0.0557874
20 rgb/1311868165.031122.png 0.999657 0.01424 -0.0112622 -0.0188817 0.105671 0.00957947 -0.057316
21 rgb/1311868165.063108.png 0.999563 0.0141472 -0.0157388 -0.0206285 0.116178 0.00996719 -0.0611913
22 rgb/1311868165.099162.png 0.999434 0.0135218 -0.0200407 -0.0233819 0.12918 0.00883466 -0.0623906
23 rgb/1311868165.131014.png 0.999294 0.0155096 -0.0231984 -0.025165 0.140934 0.00784929 -0.0648391
24 rgb/1311868165.163146.png 0.999099 0.0183075 -0.0263192 -0.0278024 0.153547 0.0104033 -0.0688273
25 rgb/1311868165.199145.png 0.998916 0.0200744 -0.0287846 -0.0305765 0.165487 0.0142647 -0.0725314
26 rgb/1311868165.231193.png 0.998808 0.0202795 -0.0306586 -0.0321147 0.177341 0.0184837 -0.0743567
27 rgb/1311868165.263005.png 0.998688 0.0194249 -0.0336901 -0.0333353 0.187878 0.0222702 -0.0769001
28 rgb/1311868165.299103.png 0.998512 0.0175109 -0.0380701 -0.0349129 0.197623 0.0269679 -0.0801028
29 rgb/1311868165.331226.png 0.9983 0.0141755 -0.0434852 -0.0361341 0.209718 0.0294922 -0.0805958
30 rgb/1311868165.363060.png 0.998105 0.0124232 -0.04792 -0.0365492 0.223126 0.0292369 -0.080538
31 rgb/1311868165.399160.png 0.997938 0.0127996 -0.050343 -0.0377038 0.234522 0.0335205 -0.0814267
32 rgb/1311868165.430962.png 0.997849 0.0120031 -0.0518463 -0.0382719 0.244919 0.0397114 -0.0826081
33 rgb/1311868165.463114.png 0.997896 0.00801584 -0.0531592 -0.036241 0.25424 0.0446414 -0.0839245
34 rgb/1311868165.499179.png 0.997882 0.00314412 -0.055433 -0.0338977 0.26219 0.046505 -0.0844733
35 rgb/1311868165.531124.png 0.997814 -0.0013707 -0.0576828 -0.0322331 0.271626 0.0479131 -0.0845766
36 rgb/1311868165.563054.png 0.997786 -0.00425155 -0.058554 -0.0312607 0.280351 0.0487327 -0.0833982
37 rgb/1311868165.599188.png 0.997733 -0.00492818 -0.0589357 -0.0321103 0.288 0.0486445 -0.0821498
38 rgb/1311868165.631159.png 0.997709 -0.00311151 -0.0583204 -0.0341557 0.29489 0.0510334 -0.0856622
