Idx RGB_file Qw Qx Qy Qz Tx Ty Tz
0 rgb/1311868164.363181.png 1 0 0 0 0 0 0
7 rgb/1311868164.599061.png 0.999888 -0.0058355 0.00262088 -0.0135653 0.0150594 0.0071216 -0.0183399
8 rgb/1311868164.631140.png 0.999881 -0.00415689 0.00320442 -0.01452 0.0179753 0.00707678 -0.0220192
13 rgb/1311868164.799138.png 0.999897 0.000581522 -0.00574544 -0.0131617 0.0459477 0.00294997 -0.0394773
16 rgb/1311868164.899132.png 0.999811 0.0110811 -0.00471732 -0.015249 0.0706875 0.00220688 -0.0463242
25 rgb/1311868165.199145.png 0.998965 0.0174156 -0.029088 -0.0303089 0.162762 0.00997938 -0.0724491
31 rgb/1311868165.399160.png 0.997986 0.0099566 -0.0503528 -0.0372629 0.230102 0.0276992 -0.0834361
39 rgb/1311868165.663251.png 0.997798 -0.00414854 -0.0563528 -0.0347331 0.294907 0.0466994 -0.0913927
55 rgb/1311868166.199211.png 0.999279 -0.022793 -0.0138451 -0.0270314 0.304207 0.107027 -0.179082
80 rgb/1311868167.031127.png 0.998731 -0.0314223 -0.0187587 -0.0345952 0.426854 0.173688 -0.261626
99 rgb/1311868167.699226.png 0.994771 -0.0266328 -0.0759735 -0.0628436 0.607538 0.168877 -0.272326
128 rgb/1311868168.899300.png 0.992146 -0.0112295 -0.106154 -0.0652061 0.648317 0.0722474 -0.122946
141 rgb/1311868169.363470.png 0.97887 0.0202734 -0.174732 -0.104265 0.689317 -0.00846588 -0.0423858
152 rgb/1311868169.731279.png 0.960368 0.0506756 -0.233509 -0.143521 0.74537 -0.0860828 0.00971155
169 rgb/1311868170.299432.png 0.958994 0.0580245 -0.251805 -0.116439 0.841101 -0.129245 0.0128781
194 rgb/1311868171.131477.png 0.954146 0.0433546 -0.262735 -0.136735 0.977067 -0.0707057 -0.0504427
213 rgb/1311868171.799464.png 0.935951 0.0346591 -0.300146 -0.180848 1.13493 -0.0635158 -0.00941898
226 rgb/1311868172.363479.png 0.93028 -0.0044385 -0.307119 -0.200592 1.25349 -0.0581468 0.0624739
234 rgb/1311868172.699619.png 0.931996 -0.0350104 -0.291755 -0.212219 1.29503 -0.0571275 0.122865
240 rgb/1311868172.963571.png 0.931168 -0.0656111 -0.283868 -0.21918 1.30356 -0.0618775 0.200071
253 rgb/1311868173.431624.png 0.928877 -0.061036 -0.286418 -0.226774 1.32306 -0.115538 0.288678
263 rgb/1311868173.831620.png 0.92049 -0.0562236 -0.313153 -0.226874 1.35455 -0.153771 0.354734
273 rgb/1311868174.231617.png 0.891826 -0.0287046 -0.366366 -0.263816 1.42388 -0.22667 0.41851
285 rgb/1311868174.631772.png 0.875995 -0.0241426 -0.398096 -0.271235 1.47361 -0.264162 0.471621
297 rgb/1311868175.031665.png 0.876246 0.00318338 -0.408599 -0.255401 1.46064 -0.325264 0.512402
301 rgb/1311868175.167807.png 0.875061 0.0175657 -0.40994 -0.256728 1.43459 -0.355381 0.520813
307 rgb/1311868175.367738.png 0.872666 0.0548763 -0.42514 -0.233878 1.41015 -0.38567 0.543502
317 rgb/1311868175.699784.png 0.865315 0.0750587 -0.449454 -0.208778 1.38863 -0.446349 0.599207
322 rgb/1311868175.867687.png 0.856674 0.0837248 -0.463467 -0.210471 1.39109 -0.475636 0.621519
327 rgb/1311868176.032043.png 0.842105 0.0877988 -0.485463 -0.217892 1.41204 -0.502073 0.654942
333 rgb/1311868176.231937.png 0.820977 0.0898352 -0.508903 -0.242784 1.44841 -0.535861 0.705808
339 rgb/1311868176.431678.png 0.811984 0.0747303 -0.518008 -0.258389 1.48631 -0.560384 0.76562
348 rgb/1311868176.731819.png 0.806726 0.0490439 -0.524006 -0.268709 1.51704 -0.58468 0.833727
364 rgb/1311868177.267807.png 0.806479 0.0498751 -0.515317 -0.285572 1.49395 -0.629565 0.927115
381 rgb/1311868177.832005.png 0.796453 0.0256708 -0.521937 -0.304278 1.46448 -0.669048 1.04181
389 rgb/1311868178.100039.png 0.763489 0.0196205 -0.555943 -0.328065 1.4942 -0.684672 1.1001
398 rgb/1311868178.400074.png 0.7397 0.023472 -0.574295 -0.349968 1.54009 -0.707065 1.16242
406 rgb/1311868178.668047.png 0.726031 0.00437908 -0.593102 -0.347981 1.58511 -0.715748 1.18465
417 rgb/1311868179.032182.png 0.72459 -0.00477766 -0.595482 -0.34691 1.68746 -0.719254 1.17365
425 rgb/1311868179.300467.png 0.72879 -0.0157664 -0.585685 -0.354387 1.77866 -0.722342 1.15121
436 rgb/1311868179.668182.png 0.737146 -0.0388082 -0.567291 -0.36509 1.86593 -0.733754 1.16137
453 rgb/1311868180.232155.png 0.715748 -0.0525786 -0.582797 -0.381166 1.98472 -0.787333 1.23144
462 rgb/1311868180.531936.png 0.69814 -0.0705956 -0.59538 -0.39133 2.03233 -0.80788 1.27486
496 rgb/1311868181.668011.png 0.714771 -0.0662399 -0.575119 -0.392369 2.00522 -0.852297 1.36969
514 rgb/1311868182.268066.png 0.723013 -0.0570773 -0.573471 -0.380953 1.83064 -0.873801 1.41189
524 rgb/1311868182.600295.png 0.72383 -0.0490216 -0.579576 -0.371158 1.73456 -0.895889 1.4433
532 rgb/1311868182.868215.png 0.697219 -0.0272085 -0.615728 -0.366093 1.65174 -0.933665 1.48333
541 rgb/1311868183.168211.png 0.650536 -0.00472181 -0.652982 -0.387807 1.53247 -1.01023 1.5365
551 rgb/1311868183.500255.png 0.604505 -0.00118986 -0.685771 -0.405328 1.4278 -1.05994 1.56268
561 rgb/1311868183.836230.png 0.589238 -0.0334072 -0.699433 -0.403084 1.32263 -1.08831 1.58647
571 rgb/1311868184.169015.png 0.596404 -0.0198037 -0.699277 -0.393601 1.20887 -1.12373 1.58367
582 rgb/1311868184.536326.png 0.592566 -0.0131451 -0.707031 -0.385745 1.11059 -1.1434 1.61054
591 rgb/1311868184.836324.png 0.550748 -0.00487207 -0.740515 -0.385085 1.01643 -1.18203 1.6439
600 rgb/1311868185.136538.png 0.517292 0.00949304 -0.759962 -0.393415 0.932961 -1.22125 1.67422
608 rgb/1311868185.401199.png 0.509036 0.0120751 -0.772758 -0.378922 0.860995 -1.24157 1.69216
616 rgb/1311868185.668624.png 0.520912 0.0372822 -0.770719 -0.365037 0.804827 -1.24996 1.69815
620 rgb/1311868185.800441.png 0.527977 0.0371437 -0.773056 -0.349636 0.78447 -1.25113 1.70308
623 rgb/1311868185.900384.png 0.523287 0.0280248 -0.776402 -0.350121 0.769693 -1.24901 1.70619
626 rgb/1311868186.000413.png 0.513711 0.0261771 -0.779356 -0.357798 0.749062 -1.25219 1.70916
631 rgb/1311868186.168524.png -0.491559 -0.0246273 0.787519 0.370913 0.723756 -1.258 1.72685
642 rgb/1311868186.537052.png -0.424132 -0.00293978 0.813382 0.398138 0.695906 -1.26425 1.78936
660 rgb/1311868187.136587.png -0.408445 0.0168848 0.813206 0.414227 0.77618 -1.29676 1.85405
670 rgb/1311868187.468568.png -0.421436 0.0186404 0.792702 0.440077 0.83948 -1.31957 1.89602
684 rgb/1311868187.936595.png -0.412539 0.0215373 0.793256 0.447316 0.864641 -1.35899 1.98048
692 rgb/1311868188.200610.png -0.374774 0.0347892 0.806113 0.456636 0.850141 -1.37779 2.07466
702 rgb/1311868188.537539.png -0.344355 0.0421151 0.799449 0.490435 0.843635 -1.37193 2.17055
715 rgb/1311868188.968696.png -0.335413 0.0783905 0.791057 0.505551 0.94022 -1.39708 2.2541
728 rgb/1311868189.400547.png -0.348003 0.0823194 0.767776 0.531636 1.04803 -1.42769 2.32404
751 rgb/1311868190.168751.png -0.364021 0.0878022 0.752618 0.541614 1.09267 -1.50741 2.48244
813 rgb/1311868192.240525.png -0.387402 0.078053 0.748768 0.53214 0.994505 -1.60661 2.65741
857 rgb/1311868193.710143.png -0.308165 0.0518401 0.793347 0.522444 0.814115 -1.62861 2.51767
909 rgb/1311868195.441781.png -0.308887 0.0396738 0.820225 0.47984 0.708919 -1.76704 2.54124
938 rgb/1311868196.410126.png -0.370788 0.0571926 0.777894 0.50411 0.782697 -1.80525 2.70388
961 rgb/1311868197.169013.png -0.396163 0.0787046 0.752417 0.520316 0.816341 -1.86094 2.83408
984 rgb/1311868197.937196.png -0.344694 0.0957804 0.746714 0.560741 0.740685 -1.90788 2.99264
1028 rgb/1311868199.405159.png -0.319879 0.0971989 0.745533 0.57655 0.538251 -1.88889 3.03368
