Idx RGB_file Qw Qx Qy Qz Tx Ty Tz
0 rgb/1311868164.363181.png 1 0 0 0 0 0 0
7 rgb/1311868164.599061.png 0.999882 -0.00683611 0.00256445 -0.0135499 0.016169 0.00443566 -0.0170456
8 rgb/1311868164.631140.png 0.999875 -0.00577231 0.00350069 -0.0143097 0.0183759 0.00224926 -0.0191672
13 rgb/1311868164.799138.png 0.999882 -0.00229742 0.000378936 -0.0151899 0.0276456 -0.0182562 -0.0488336
16 rgb/1311868164.899132.png 0.999855 0.0080875 -0.00326082 -0.014636 0.0692218 -0.00851038 -0.0416926
25 rgb/1311868165.199145.png 0.999107 0.0138334 -0.0267837 -0.029601 0.159797 -0.00355939 -0.0681829
31 rgb/1311868165.399160.png 0.998424 0.00403464 -0.0385429 -0.0405937 0.194606 -0.0129116 -0.106485
39 rgb/1311868165.663251.png 0.998291 -0.0117462 -0.0422348 -0.0386343 0.253313 -0.00217843 -0.121675
55 rgb/1311868166.199211.png 0.999082 -0.0314303 -0.00262051 -0.0289966 0.276773 0.0657217 -0.201786
80 rgb/1311868167.031127.png 0.998502 -0.0404546 -0.013045 -0.0344402 0.422998 0.145237 -0.269654
99 rgb/1311868167.699226.png 0.994825 -0.0351439 -0.0726291 -0.0617445 0.612028 0.14579 -0.268849
128 rgb/1311868168.899300.png 0.99244 -0.0191465 -0.103026 -0.0638863 0.652493 0.0476534 -0.114598
141 rgb/1311868169.363470.png 0.979563 0.0136775 -0.172471 -0.102582 0.69118 -0.0345222 -0.0284938
152 rgb/1311868169.731279.png 0.961245 0.0451675 -0.232171 -0.141647 0.746517 -0.114456 0.0264048
169 rgb/1311868170.299432.png 0.959717 0.0520108 -0.25147 -0.11402 0.848399 -0.161422 0.0319306
194 rgb/1311868171.131477.png 0.954287 0.0349633 -0.26531 -0.133133 1.00005 -0.110432 -0.0336021
213 rgb/1311868171.799464.png 0.935832 0.0266237 -0.303471 -0.177241 1.16019 -0.100393 0.0127563
226 rgb/1311868172.363479.png 0.929668 -0.0134781 -0.310711 -0.197469 1.2819 -0.0927967 0.0887311
234 rgb/1311868172.699619.png 0.931092 -0.0447897 -0.295201 -0.209565 1.32632 -0.0903848 0.150378
240 rgb/1311868172.963571.png 0.929848 -0.0761025 -0.287336 -0.216861 1.33688 -0.0939932 0.228569
253 rgb/1311868173.431624.png 0.927643 -0.0714197 -0.289832 -0.224443 1.35618 -0.148392 0.320767
263 rgb/1311868173.831620.png 0.919215 -0.066402 -0.316794 -0.224224 1.3862 -0.18662 0.391004
273 rgb/1311868174.231617.png 0.890691 -0.0375231 -0.370652 -0.260535 1.4521 -0.259406 0.461224
285 rgb/1311868174.631772.png 0.874706 -0.0324121 -0.402739 -0.267658 1.5008 -0.295993 0.518478
297 rgb/1311868175.031665.png 0.875281 -0.00440063 -0.413216 -0.251229 1.4868 -0.359093 0.562091
301 rgb/1311868175.167807.png 0.874326 0.0103977 -0.414469 -0.252312 1.46003 -0.390771 0.571521
307 rgb/1311868175.367738.png 0.872226 0.0487538 -0.429558 -0.228745 1.43469 -0.422869 0.594583
317 rgb/1311868175.699784.png 0.864772 0.0696382 -0.453981 -0.20303 1.41246 -0.485379 0.651971
322 rgb/1311868175.867687.png 0.85608 0.0786929 -0.468074 -0.204553 1.41433 -0.515622 0.67576
327 rgb/1311868176.032043.png 0.841257 0.0832643 -0.490468 -0.211645 1.43432 -0.541567 0.712154
333 rgb/1311868176.231937.png 0.819848 0.0858376 -0.514555 -0.236039 1.46899 -0.573639 0.768111
339 rgb/1311868176.431678.png 0.81053 0.0705762 -0.524333 -0.251267 1.5064 -0.595917 0.834536
348 rgb/1311868176.731819.png 0.804885 0.0443322 -0.530509 -0.26221 1.53643 -0.619301 0.906996
364 rgb/1311868177.267807.png 0.80488 0.0452296 -0.52169 -0.279218 1.51329 -0.664358 1.00346
381 rgb/1311868177.832005.png 0.794468 0.0205777 -0.528527 -0.298421 1.48212 -0.702891 1.12241
389 rgb/1311868178.100039.png 0.760899 0.0150565 -0.563006 -0.322227 1.50952 -0.716151 1.18422
398 rgb/1311868178.400074.png 0.736904 0.019519 -0.581525 -0.344121 1.55427 -0.736745 1.25032
406 rgb/1311868178.668047.png 0.722762 0.000470335 -0.600431 -0.342195 1.59827 -0.743057 1.27567
417 rgb/1311868179.032182.png 0.720934 -0.00921041 -0.602809 -0.341747 1.70119 -0.748372 1.26885
425 rgb/1311868179.300467.png 0.725218 -0.0189879 -0.593981 -0.347685 1.79674 -0.743302 1.25511
436 rgb/1311868179.668182.png 0.733525 -0.0427155 -0.57526 -0.359433 1.88661 -0.75476 1.26882
453 rgb/1311868180.232155.png 0.712148 -0.0556875 -0.59045 -0.375649 2.0058 -0.803324 1.34358
462 rgb/1311868180.531936.png 0.694215 -0.0734425 -0.603012 -0.386069 2.05332 -0.820723 1.39034
496 rgb/1311868181.668011.png 0.711281 -0.0694811 -0.582422 -0.387345 2.02585 -0.868009 1.4888
514 rgb/1311868182.268066.png 0.719663 -0.0603973 -0.580747 -0.375727 1.8479 -0.893678 1.52918
524 rgb/1311868182.600295.png 0.720512 -0.0521739 -0.586887 -0.365656 1.74951 -0.917999 1.56046
532 rgb/1311868182.868215.png 0.693781 -0.02926 -0.623105 -0.359933 1.66244 -0.956414 1.59934
541 rgb/1311868183.168211.png 0.646812 -0.00531271 -0.660546 -0.381164 1.5386 -1.03429 1.65145
